ID,Street_Name,From_Street,To_Street,Road_Type,Volume,Truck_Route
354,Crumlin Sdrd,,Gore Rd,Local,100,None
355,Highbury Ave S,,Bradley Ave,Ramps,200,None
356,Bradish Rd,Brady Dr,Reagan Brne,Arterial,250,24 hrs
357,Brady Dr,Kerr Rd,Bradish Rd,Arterial,250,24 hrs
358,Glanworth Dr,,Old Victoria Rd,Arterial,250,24 hrs
359,Kerr Rd,,Brady Dr,Arterial,250,24 hrs
360,Manning Dr,White Oak Rd,Wonderland Rd S,Arterial,250,24 hrs
361,Kerr Rd,Webber Brne,,Arterial,250,None
362,Reagan Brne,Bradish Rd,Wellington Rd S,Local,250,None
363,Webber Brne,Highbury Ave S,Kerr Rd,Arterial,250,None
365,Sunningdale Rd E,Clarke Rd,,Local,400,24 hrs
366,Bradish Rd,Glanworth Dr,Brady Dr,Arterial,500,24 hrs
367,Castleton Rd,Roxburgh Rd,Dingman Dr,Secondary,500,24 hrs
368,Glanworth Dr,Bradish Rd,Wellington Rd S,Arterial,500,24 hrs
369,Manning Dr,,Old Victoria Rd,Arterial,500,24 hrs
370,White Oak Rd,Glanworth Dr,Harry White Dr,Arterial,500,24 hrs
371,Elliott St,Cheapside St,Victoria St,Secondary,500,None
372,Gatewood Rd,Huron St,Monsarrat Ave,Local,500,None
373,Mount Pleasant Ave,Wilson Ave,Wharncliffe Rd N,Local,500,None
374,Plane Tree Dr,Louise Blvd,Pinnacle Pky,Secondary,500,None
375,Preston St,Huron St,Hillcrest Ave,Local,500,None
376,Regal Dr,Melsandra Ave,Fuller St,Local,500,None
377,Taplow Rd,Louise Blvd,Hillside Dr,Local,500,None
378,Webster St,Jensen Rd,Kilally Rd &,Secondary,500,None
379,Westbury Ave,Estella Rd,Ensign Dr,Local,500,None
380,Whisperwood Ave,Griffith St & Whisperwood Cres,Griffith St,Secondary,500,None
381,Edgevalley Rd,Kilally Rd,,Secondary,554,None
382,Killarney Rd,Highbury Ave N,Portrush Way,Secondary,600,None
383,Manning Dr,Old Victoria Rd,Highbury Ave S,Arterial,617,24 hrs
384,Sterling St,Mornington Ave,Oxford St E,Local,637,None
385,Weston St,Wellington Rd,Fairview Ave,Secondary,791,None
386,Wyatt St,,Cavendish C+D213res,Local,847,None
387,Westminster Dr,Highbury Ave S,Wellington Rd S,Arterial,860,24 hrs
388,Regent St,William St,Adelaide St N,Local,882,None
389,Crumlin Sdrd,Trafalgar St,Trafalgar St,Arterial,1000,24 hrs
390,Elviage Dr,Westdel Brne,Woodhull Rd,Arterial,1000,24 hrs
391,Kilbourne Rd,Malpass Rd,Longwoods Rd,Secondary,1000,24 hrs
392,Morrison Rd,Scotland Dr,Wonderland Rd S,Arterial,1000,24 hrs
393,Scotland Dr,White Oak Rd,Morrison Rd,Arterial,1000,24 hrs
394,Sunningdale Rd W,Hyde Park Rd,,Arterial,1000,24 hrs
395,Trafalgar St,Crumlin Sdrd,,Arterial,1000,24 hrs
396,Westminster Dr,White Oak Rd,White Oak Rd,Arterial,1000,24 hrs
397,Westminster Dr,Wellington Rd S,White Oak Rd,Arterial,1000,24 hrs
398,White Oak Rd,Westminster Dr,Westminster Dr,Arterial,1000,24 hrs
399,Wonderland Rd S,Morrison Rd,Manning Dr,Arterial,1000,24 hrs
400,Alomar Dr,Optimist Park Dr,Birchwood Dr,Local,1000,None
401,Ambleside Dr,Pinnacle Pky,Whitehaven Cres,Secondary,1000,None
402,Ann St,,Talbot St,Local,1000,None
403,Argyle St,Blackfriars St,Empress Ave,Local,1000,None
404,Askin St,Wharncliffe Rd S,Wortley Rd & Craig St,Local,1000,None
405,Atkinson Blvd,Trafalgar St & Falcon St,Whitehall Dr,Secondary,1000,None
406,Birchwood Dr,Alomar Dr,Bramblewood St,Local,1000,None
407,Blackmaple Dr,Edgevalley Rd & Blackmaple Crt & Staghorn Cres,Townsend Dr & Blackmaple Cres,Secondary,1000,None
408,Bluebell Rd,Skyline Ave,Sunningdale Rd E,Secondary,1000,None
409,Bow St,Marconi Blvd,Hudson Dr & Bancroft Rd,Secondary,1000,None
410,Bramblewood Pl,Bramblewood St,Southdale Rd W,Local,1000,None
411,Bramblewood St,Bramblewood Pl,Birchwood Dr,Local,1000,None
412,Campbell St,Hamlyn St,Sunray Ave,Secondary,1000,None
413,Campbell St N,James St,Beattie St,Secondary,1000,None
414,Carfrae St,Ridout St S,Carfrae Cres,Local,1000,None
415,Cathcart St,Elmwood Ave E,Duchess Ave,Local,1000,None
416,Cavendish Cres,Walnut St,Mount Pleasant Ave & Riverside Dr,Local,1000,None
417,Chalkstone Dr,Exeter Rd,,Local,1000,None
418,Chambers Ave,Nanette Dr,Berryhill Dr,Secondary,1000,None
419,Chambers Ave,Sandybrook Dr,Skyline Ave,Secondary,1000,None
420,City Yard Entry,Exeter Rd,,Miscelaneous,1000,None
421,Coronation Dr,North Routledge Park & Moy Cres,Gainsborough Rd,Secondary,1000,None
422,Deveron Cres,Shelborne St,Shelborne Pl & Shelborne St,Secondary,1000,None
423,Edgevalley Rd,Kilally Rd,Blackmaple Crt & Staghorn Cres & Blackmaple Dr,Secondary,1000,None
424,Edgevalley Rd,,Cobblestone St,Secondary,1000,None
425,Elizabeth St,Dundas St,Queens Ave,Local,1000,None
426,Elliott St,Oxford St E,Cheapside St,Secondary,1000,None
427,Elviage Dr,Woodhull Rd,,Arterial,1000,None
428,Empress Ave,Argyle St,Wharncliffe Rd N,Local,1000,None
429,Estevan Rd,Grenfell Dr,Milestone Rd,Local,1000,None
430,Foster Ave,Upper Ave,Oxford St W,Local,1000,None
431,Grenfell Dr,Trossacks Ave,Milestone Rd,Secondary,1000,None
432,Hamlyn St,Wonderland Rd S,Campbell St,Secondary,1000,None
433,Hastings Dr,Hastings Gate,Fanshawe Park Rd E,Secondary,1000,None
434,Hickory Rd,Pinetree Dr,Oak Park Dr,Secondary,1000,None
435,Hillview Blvd,Cherokee Rd,Hillside Dr,Local,1000,None
436,Homestead Cres,Scotchpine Cres,Blackacres Blvd,Secondary,1000,None
437,James St,Campbell St N,Colonel Talbot Rd,Secondary,1000,None
438,Kains Rd,Riverbend Rd,Westdel Brne,Primary,1000,None
439,Laurel St,Oxford St W,Guildwood Blvd,Local,1000,None
440,Limberlost Rd,Gainsborough Rd,Scotchpine Cres,Secondary,1000,None
441,Mcgarrell Dr,Louise Blvd,Pinnacle Pky & Mcgarrell Pl,Secondary,1000,None
442,Mclean Dr,Killarney Rd,Fanshawe Park Rd E,Secondary,1000,None
443,Merlin Cres,Whitehall Dr,Wavell St,Secondary,1000,None
444,Mount Pleasant Ave,Wharncliffe Rd N,Riverside Dr & Cavendish Cres,Local,1000,None
445,Nanette Dr,Jennifer Rd,Chambers Ave,Secondary,1000,None
446,Nottinghill Rd,Commissioners Rd W,Village Green Ave,Secondary,1000,None
447,Oak Park Dr,Hickory Rd,Valetta St,Secondary,1000,None
448,Ontario St,Dundas St,Dufferin Ave,Local,1000,None
449,Optimist Park Dr,Boler Rd,Alomar Dr,Local,1000,None
450,Osgoode Dr,Willow Lane,Adelaide St S,Secondary,1000,None
451,Outer Dr,Sunray Ave,Colonel Talbot Rd,Secondary,1000,None
452,Page St,Cuddy Blvd & Cuddy Crt,Crumlin Sdrd,Secondary,1000,None
453,Pinetree Dr,Riverside Dr,Hickory Rd,Secondary,1000,None
454,Plymouth Ave,Sanatorium Rd,Santa-monica Rd,Secondary,1000,None
455,Quinella Dr,Rosecliffe Terr & Trellis Cres,Springbank Dr,Secondary,1000,None
456,Reardon Blvd,Chelton Rd,Meadowgate Blvd,Secondary,1000,None
457,Regal Dr,Hillcrest Ave,Melsandra Ave,Local,1000,None
458,Repton Ave,Phillbrook Dr,Sandybrook Dr,Secondary,1000,None
459,Sandybrook Dr,Chambers Ave,Repton Ave,Secondary,1000,None
460,Santa-monica Rd,Plymouth Ave,Headley Dr,Secondary,1000,None
461,Scotchpine Cres,Limberlost Rd,Homestead Cres,Secondary,1000,None
462,Scotland Dr,Morrison Rd,Wonderland Rd S,Arterial,1000,None
463,Shore Rd,Kains Rd,Westdel Brne & Ashgrove Crt,Secondary,1000,None
464,Skyline Ave,Bluebell Rd,Chambers Ave,Secondary,1000,None
465,South St,Colborne St,Adelaide St N,Secondary,1000,None
466,Southminster Brne,Colonel Talbot Rd,Thomas Lane,Arterial,1000,None
467,St George St,Central Ave,John St,Local,1000,None
468,St James St,St George St,Richmond St,Local,1000,None
469,Talbot St,Horton St E,,Local,1000,None
470,Townsend Dr,Blackmaple Cres & Blackmaple Dr,Highbury Ave N,Secondary,1000,None
471,Webster St,Bentley Dr,Jensen Rd,Secondary,1000,None
472,Wellington St,Regent St,Huron St,Local,1000,None
473,Wexford Ave,Admiral Dr,Royal Cres,Secondary,1000,None
474,Whitehall Dr,Atkinson Blvd,Merlin Cres,Secondary,1000,None
475,Wickerson Rd,Byron Baseline Rd,Ironwood Rd,Secondary,1000,None
476,Wychwood Pk,Lawson Rd,Lawson Rd,Secondary,1000,None
477,Shavian Blvd,Richmond St & Sunnyside Dr,Hillside Dr,Local,1100,None
478,Louise Blvd,Taplow Rd,Fanshawe Park Rd W,Local,1107,None
479,Bradley Ave,Veterans Memorial Pky,,Arterial,1200,24 hrs
480,St George St,John St,Ann St,Local,1200,None
481,White Oak Rd,Manning Dr,Glanworth Dr,Arterial,1218,24 hrs
482,White Oak Rd,Dingman Dr,Westminster Dr,Arterial,1250,24 hrs
483,Barclay Rd,Cranbrook Rd,Knights Bridge Rd,Local,1400,None
484,Crumlin Sdrd,Gore Rd,Trafalgar St,Arterial,1500,24 hrs
485,Dingman Dr,Highbury Ave S,Castleton Rd,Arterial,1500,24 hrs
486,Fanshawe Park Rd E,Clarke Rd,,Local,1500,24 hrs
487,Little Simcoe St,Adelaide St N,Rectory St,Secondary,1500,24 hrs
488,Pack Rd,Bostwick Rd,Colonel Talbot Rd,Arterial,1500,24 hrs
489,Adelaide St N,,Bathurst St,Local,1500,None
490,Ann St,Talbot St,St George St,Local,1500,None
491,Ashland Ave,Florence St,Dundas St,Secondary,1500,None
492,Barclay Rd,Farnham Rd,Cranbrook Rd,Secondary,1500,None
493,Barker St,Oxford St E,Cheapside St,Secondary,1500,None
494,Blackwater Rd,Grenfell Dr,Thistlewood Dr,Secondary,1500,None
495,Bradish Rd,Wellington Rd S,Glanworth Dr,Arterial,1500,None
496,Chester St,Ridout St S,High St,Local,1500,None
497,Chippewa Dr,Sandford St & Ripley Rd,Oakville Ave,Secondary,1500,None
498,Coronation Dr,South Carriage Rd & South Carriage Way,Gainsborough Rd,Secondary,1500,None
499,Coronation Dr,Dalmagarry Rd,North Routledge Park & Moy Cres,Secondary,1500,None
500,Deveron Cres,Pond Mills Rd & Oldham St,Frontenac Rd,Secondary,1500,None
501,Dulaney Dr,Ferndale Ave,Southdale Rd E,Local,1500,None
502,English St,Dundas St,Queens Ave,Local,1500,None
503,Forward Ave,Riverside Dr & Woodward Ave,Walnut St,Local,1500,None
504,Glengarry Ave,Glenora Dr,Fanshawe Park Rd E,Secondary,1500,None
505,Grey St,Richmond St,Wellington St,Local,1500,None
506,Grey St,Colborne St,Adelaide St N,Local,1500,None
507,Griffith St,Commissioners Rd W,Byron Baseline Rd,Secondary,1500,None
508,Grosvenor St,Colborne St,Adelaide St N,Local,1500,None
509,Guildwood Blvd,Laurel St,Cedarwood Rd,Secondary,1500,None
510,Hazelden Lane,Hyde Park Rd,Hartson Rd,Secondary,1500,None
511,Headley Dr,Santa-monica Rd,Oxford St W,Secondary,1500,None
512,Hillcrest Ave,Preston St,Highbury Ave N,Local,1500,None
513,Horton St E,Hamilton Rd,Adelaide St N,Arterial,1500,None
514,King Edward Ave,Russell Ave,Thompson Rd,Local,1500,None
515,Knights Bridge Rd,Parks Edge Cres,Farmington Cres,Secondary,1500,None
516,Lawson Rd,Limberlost Rd,Aldersbrook Rd,Secondary,1500,None
517,Lawson Rd,Wychwood Pk,Wychwood Pk,Secondary,1500,None
518,Manchester Rd,Royal York Rd,Hunt Club Dr,Secondary,1500,None
519,Mcgregor Ave,Base Line Rd W,Commissioners Rd W,Local,1500,None
520,Mcmahen St,Adelaide St N,Elizabeth St,Local,1500,None
521,Meg Dr,Exeter Rd,Shamrock Rd,Local,1500,None
522,Melsandra Ave,Barker St,Briarhill Ave,Local,1500,None
523,North Routledge Park,Moy Cres & Coronation Dr,Hyde Park Rd & North Routledge Pk,Secondary,1500,None
524,Old Hunt Rd,Oxford St W,Hunt Club Dr,Secondary,1500,None
525,Ontario St,Dufferin Ave,Elias St,Local,1500,None
526,Page St,Industrial Rd,Veterans Memorial Pky,Secondary,1500,None
527,Parkhurst Ave,Third St,Clarke Rd,Secondary,1500,None
528,Pinnacle Pky,Mcgarrell Pl & Mcgarrell Dr,Plane Tree Dr,Secondary,1500,None
529,Railton Ave,Marconi Blvd & Railton Crt,Tartan Dr & Dunctonwood Pl,Secondary,1500,None
530,Reardon Blvd,Jackson Rd,Chelton Rd,Secondary,1500,None
531,Ridgewood Cres,Emery St W & Southcrest Dr,Greenwood Ave,Local,1500,None
532,Ridout St N,Queens Ave,Dufferin Ave & Harris Park Entrance,Primary,1500,None
533,River Run Terr,Hamilton Rd,Classic Dr,Local,1500,None
534,Shore Rd,Kains Woods Terr,Kains Rd,Secondary,1500,None
535,South Carriage Rd,Hyde Park Rd,Coronation Dr & South Carriage Way,Secondary,1500,None
536,St James St,Richmond St,Wellington St,Local,1500,None
537,St James St,Colborne St,Adelaide St N,Local,1500,None
538,Stoneybrook Cres,Hastings Gate,Fanshawe Park Rd E,Secondary,1500,None
539,Tartan Dr,Railton Ave & Dunctonwood Pl,Veterans Memorial Pky,Secondary,1500,None
540,Tavistock Rd,Viscount Rd,Village Green Ave,Secondary,1500,None
541,Third St,Oxford St E,Sorrel Rd & Cheapside St,Local,1500,None
542,Thistlewood Dr,Blackwater Rd,South Wenige Dr,Secondary,1500,None
543,Village Green Ave,Tavistock Rd,Andover Dr,Secondary,1500,None
544,William St,Victoria St,Regent St,Local,1500,None
545,Willow Lane,Osgoode Dr,Dearness Dr,Secondary,1500,None
